school_name,country
The University of Texas at Dallas,United States of America
The University of Tokushima,Japan
Tokyo Medical and Dental University,Japan
University of Bayreuth,Germany
University of Bielefeld,Germany
University of Duesseldorf,Germany
University of Nevada - Reno,United States of America
University of New Hampshire - Durham,United States of America
University of Oklahoma - Norman,United States of America
University of Paris Dauphine (Paris 9),France
University of Perugia,Italy
University of Regensburg,Germany
University of Rhode Island,United States of America
University of Roma - Tor Vergata,Italy
University of the Mediterranean (Aix-Marseille 2),France
University of Ulm,Germany
Utah State University,United States of America
Yamaguchi University,Japan
Hannover Medical School,Germany
Kagoshima University,Japan
Loyola University Chicago,United States of America
Medical College of Georgia,United States of America
Medical University of Graz,Austria
Medical University of Innsbruck,Austria
Montana State University - Bozeman,United States of America
Nara Institute of Science and Technology,Japan
National Yang Ming University,Taiwan
Northern Arizona University,United States of America
Saarland University,Germany
Sao Paulo State University,Brazil
Swansea Univ,United Kingdom
The College of  William and Mary,United States of America
The Graduate University for Advanced Studies,Japan
The Royal Veterinary and Agricultural University,Denmark
The University of Akron,United States of America
The University of Connecticut Health Center,United States of America
The University of Memphis,United States of America
University of Bari,Italy
University of Central Florida,United States of America
University of Giessen,Germany
University of Jena,Germany
University of Jyvaskyla,Finland
University of Louisville,United States of America
University of Maastricht,Netherlands
University of Maine,United States of America
University of Mississippi,United States of America
University of Provence (Aix-Marseille 1),France
University of Quebec,Canada
University of Rostock,Germany
University of Sevilla,Spain
University of Sherbrooke,Canada
University of Tennessee Health Science Center,United States of America
University of Tromso,Norway
University of Wisconsin - Milwaukee,United States of America
University of Wroclaw,Poland
Victor Segalen Bordeaux 2 University,France
Vrije University Brussel,Belgium
University of Arkansas at Fayetteville,United States of America
Brunel University,United Kingdom
Louisiana State University Health Sciences Center,United States of America
Mississippi State University,United States of America 
Shandong University,China
University of Arkansas at Little Rock,United States of America
University of New England,Australia
West Virginia University,United States of America
"Rutgers, The State University of New Jersey",United States of America
Catholic University of Chile,Chile
Lanzhou University,China
Nankai University,China
University of Hannover,Germany
University of Kansas Medical Center,United States of America
University of Lille 1,France
University of Colorado at Denver,United States of America
Cranfield University,United Kingdom
University of Dortmund,Germany
Curtin University of Technology,Australia
University of Pompeu Fabra,Spain
University of Santiago Compostela,Spain
King Fahd University of Petroleum & Minerals,Saudi Arabia
Southeast University,China
The University of Texas at San Antonio,United States of America
University of Versailles,France
Xian Jiao Tong University,China
University of Lorraine,France
Karlsruhe Institute of Technology (KIT),Germany
Beijing Normal University,China
Beijing University of Aeronautics and Astronautics,China
Federal University of Sao Paulo,Brazil
University of Malaya,Malaysia
University of Milan - Bicocca,Italy
"University of Technology, Sydney",Australia
University of Zagreb,Croatia
Aix Marseille University,France
University of California-Berkeley,United States of America
University of Michigan-Ann Arbor,United States of America
The University of Melbourne,Australia
University of Pittsburgh-Pittsburgh Campus,United States of America
Swiss Federal Institute of Technology Lausanne,Swiss
Texas A & M University,United States of America
The University of New South Wales,Australia
University Paris Diderot - Paris 7,France
Icahn School of Medicine at Mount Sinai,United States of America
Norwegian University of Science and Technology - NTNU,Norway
"Queen Mary, University of London",United Kingdom
Western University (The University of Western Ontario),Canada
Beihang University,China
Central South University,China
ESPCI ParisTech,France
London School of Hygiene & Tropical Medicine,United Kingdom
SUNY at Albany,United States of America
UNESP,Brazil
University of Campinas,Brazil
Capital University of Medical Sciences,China
Catholic University of Korea,South Korea
King Abdullah University of Science and Technology,Saudi Arabia
MINES ParisTech,France
Nanjing Medical University,China
Peking Union Medical College,China
University of Auvergne,France
"University of Science, Malaysia",Malaysia
University of Paris-Sud (Paris 11),France
"University of Pittsburgh, Pittsburgh Campus",United States of America
Université libre de Bruxelles (ULB),Belgium
Vrije Universiteit Brussel (VUB),Belgium
Toulouse School of Economics,France
"University at Buffalo, the State University of New York",United States of America
University of Alabama at Birmingham,United States of America
University of Montpellier,France
China Medical University,China
Paris Dauphine University (Paris 9),France
"The University of Newcastle, Australia",Australia
University at Albany (State University of New York),United States of America
University of Montana - Missoula,United States of America
"school_name","country"
"Massachusetts Institute of Technology (MIT)","United States"
"University of Oxford","United Kingdom"
"Stanford University","United States"
"University of Cambridge","United Kingdom"
"Harvard University","United States"
"California Institute of Technology (Caltech)","United States"
"Imperial College London","United Kingdom"
"ETH Zurich - Swiss Federal Institute of Technology","Switzerland"
"UCL","United Kingdom"
"University of Chicago","United States"
"National University of Singapore (NUS)","Singapore"
"Nanyang Technological University, Singapore (NTU)","Singapore"
"University of Pennsylvania","United States"
"EPFL","Switzerland"
"Yale University","United States"
"The University of Edinburgh","United Kingdom"
"Tsinghua University","China (Mainland)"
"Peking University","China (Mainland)"
"Columbia University","United States"
"Princeton University","United States"
"Cornell University","United States"
"The University of Hong Kong","Hong Kong SAR"
"The University of Tokyo","Japan"
"University of Michigan-Ann Arbor","United States"
"Johns Hopkins University","United States"
"University of Toronto","Canada"
"McGill University","Canada"
"The Australian National University","Australia"
"The University of Manchester","United Kingdom"
"Northwestern University","United States"
"Fudan University","China (Mainland)"
"University of California, Berkeley (UCB)","United States"
"Kyoto University","Japan"
"The Hong Kong University of Science and Technology","Hong Kong SAR"
"King's College London","United Kingdom"
"Seoul National University","South Korea"
"The University of Melbourne","Australia"
"The University of Sydney","Australia"
"The Chinese University of Hong Kong (CUHK)","Hong Kong SAR"
"University of California, Los Angeles (UCLA)","United States"
"KAIST - Korea Advanced Institute of Science & Technology","South Korea"
"New York University (NYU)","United States"
"The University of New South Wales (UNSW Sydney)","Australia"
"Université PSL","France"
"Zhejiang University","China (Mainland)"
"University of British Columbia","Canada"
"The University of Queensland","Australia"
"University of California, San Diego (UCSD)","United States"
"Institut Polytechnique de Paris","France"
"The London School of Economics and Political Science (LSE)","United Kingdom"
"Shanghai Jiao Tong University","China (Mainland)"
"Technical University of Munich","Germany"
"Duke University","United States"
"Carnegie Mellon University","United States"
"City University of Hong Kong","Hong Kong SAR"
"University of Amsterdam","Netherlands"
"Tokyo Institute of Technology (Tokyo Tech)","Japan"
"Delft University of Technology","Netherlands"
"Monash University","Australia"
"Brown University","United States"
"The University of Warwick","United Kingdom"
"University of Bristol","United Kingdom"
"Ruprecht-Karls-Universität Heidelberg","Germany"
"Ludwig-Maximilians-Universität München","Germany"
"Universiti Malaya (UM)","Malaysia"
"The Hong Kong Polytechnic University","Hong Kong SAR"
"University of Texas at Austin","United States"
"National Taiwan University (NTU)","Taiwan"
"Universidad de Buenos Aires (UBA)","Argentina"
"KU Leuven","Belgium"
"University of Zurich","Switzerland"
"Sorbonne University","France"
"University of Glasgow","United Kingdom"
"Korea University","South Korea"
"Osaka University","Japan"
"University of Wisconsin-Madison","United States"
"University of Southampton","United Kingdom"
"Lomonosov Moscow State University","Russia"
"University of Copenhagen","Denmark"
"Yonsei University","South Korea"
"Pohang University of Science And Technology (POSTECH)","South Korea"
"Durham University","United Kingdom"
"Tohoku University","Japan"
"University of Illinois at Urbana-Champaign","United States"
"The University of Auckland","New Zealand"
"University of Washington","United States"
"Université Paris-Saclay","France"
"Lund University","Sweden"
"Georgia Institute of Technology","United States"
"KTH Royal Institute of Technology","Sweden"
"University of Birmingham","United Kingdom"
"University of St Andrews","United Kingdom"
"University of Leeds","United Kingdom"
"The University of Western Australia","Australia"
"Rice University","United States"
"The University of Sheffield","United Kingdom"
"Pennsylvania State University","United States"
"Sungkyunkwan University(SKKU)","South Korea"
"University of Science and Technology of China","China (Mainland)"
"Technical University of Denmark","Denmark"
"University of North Carolina, Chapel Hill","United States"
"Trinity College Dublin, The University of Dublin","Republic of Ireland"
"University of Oslo","Norway"
"University of Nottingham","United Kingdom"
"University of Helsinki","Finland"
"Universidad Nacional Autónoma de México (UNAM)","Mexico"
"University of Geneva","Switzerland"
"Washington University in St. Louis","United States"
"The University of Adelaide","Australia"
"University of California, Davis","United States"
"King Abdulaziz University (KAU)","Saudi Arabia"
"Utrecht University","Netherlands"
"Université de Montréal","Canada"
"Aalto University","Finland"
"Boston University","United States"
"Leiden University","Netherlands"
"University of Southern California","United States"
"Purdue University","United States"
"Queen Mary University of London","United Kingdom"
"Nagoya University","Japan"
"University of Bern","Switzerland"
"The Ohio State University","United States"
"Chalmers University of Technology","Sweden"
"Universidade de São Paulo","Brazil"
"Wageningen University & Research","Netherlands"
"Uppsala University","Sweden"
"Eindhoven University of Technology","Netherlands"
"University of Alberta","Canada"
"Freie Universitaet Berlin","Germany"
"Humboldt-Universität zu Berlin","Germany"
"University of Groningen","Netherlands"
"École Normale Supérieure de Lyon","France"
"Nanjing University","China (Mainland)"
"Lancaster University","United Kingdom"
"University of Technology Sydney","Australia"
"Newcastle University","United Kingdom"
"Pontificia Universidad Católica de Chile (UC)","Chile"
"KIT, Karlsruhe Institute of Technology","Germany"
"Kyushu University","Japan"
"University of Basel","Switzerland"
"McMaster University","Canada"
"Ghent University","Belgium"
"Politecnico di Milano","Italy"
"Universiti Putra Malaysia (UPM)","Malaysia"
"Universiti Kebangsaan Malaysia (UKM)","Malaysia"
"Hokkaido University","Japan"
"University of California, Santa Barbara (UCSB)","United States"
"Universiti Sains Malaysia (USM)","Malaysia"
"Stockholm University","Sweden"
"The University of Exeter","United Kingdom"
"University of Waterloo","Canada"
"Cardiff University","United Kingdom"
"University of Vienna","Austria"
"University of York","United Kingdom"
"University of Rochester","United States"
"Aarhus University","Denmark"
"Hanyang University","South Korea"
"Michigan State University","United States"
"University of Maryland, College Park","United States"
"Technische Universität Berlin (TU Berlin)","Germany"
"Emory University","United States"
"Case Western Reserve University","United States"
"Tecnológico de Monterrey","Mexico"
"King Fahd University of Petroleum & Minerals","Saudi Arabia"
"University of Pittsburgh","United States"
"RWTH Aachen University","Germany"
"Alma Mater Studiorum - University of Bologna","Italy"
"University of Bath","United Kingdom"
"Texas A&M University","United States"
"Universitat de Barcelona","Spain"
"Western University","Canada"
"Sapienza University of Rome","Italy"
"Albert-Ludwigs-Universitaet Freiburg","Germany"
"University College Dublin","Republic of Ireland"
"University of Florida","United States"
"Al-Farabi Kazakh National University","Kazakhstan"
"University of Lausanne","Switzerland"
"Eberhard Karls Universität Tübingen","Germany"
"Indian Institute of Technology Bombay (IITB)","India"
"Erasmus University Rotterdam","Netherlands"
"National Tsing Hua University","Taiwan"
"Technische Universität Wien","Austria"
"University of Gothenburg","Sweden"
"Khalifa University of Science and Technology","United Arab Emirates"
"Universidad de Chile","Chile"
"Indian Institute of Technology Delhi (IITD)","India"
"Indian Institute of Science","India"
"University of Minnesota Twin Cities","United States"
"Université catholique de Louvain (UCLouvain)","Belgium"
"University of Liverpool","United Kingdom"
"University of Twente","Netherlands"
"Dartmouth College","United States"
"Universiti Teknologi Malaysia","Malaysia"
"University of Wollongong","Australia"
"Curtin University","Australia"
"Technische Universität Dresden","Germany"
"University of Otago","New Zealand"
"The University of Newcastle, Australia (UON)","Australia"
"The Hebrew University of Jerusalem","Israel"
"University of Bergen","Norway"
"Macquarie University","Australia"
"Keio University","Japan"
"University of Reading","United Kingdom"
"Waseda University","Japan"
"University of Göttingen","Germany"
"University of Aberdeen","United Kingdom"
"RMIT University","Australia"
"Universidad Autónoma de Madrid","Spain"
"Universite libre de Bruxelles","Belgium"
"Universitat Autònoma de Barcelona","Spain"
"Vrije Universiteit Amsterdam","Netherlands"
"Tongji University","China (Mainland)"
"Ulsan National Institute of Science and Technology (UNIST)","South Korea"
"Queensland University of Technology (QUT)","Australia"
"Universität Hamburg","Germany"
"Chulalongkorn University","Thailand"
"Arizona State University","United States"
"Queen's University Belfast","United Kingdom"
"Vanderbilt University","United States"
"Universidade Estadual de Campinas (Unicamp)","Brazil"
"Radboud University","Netherlands"
"Vrije Universiteit Brussel (VUB)","Belgium"
"University of Notre Dame","United States"
"Complutense University of Madrid","Spain"
"Qatar University","Qatar"
"Wuhan University","China (Mainland)"
"Rheinische Friedrich-Wilhelms-Universität Bonn","Germany"
"University of Cape Town","South Africa"
"University of Sussex","United Kingdom"
"University of Virginia","United States"
"University of Ottawa","Canada"
"Loughborough University","United Kingdom"
"University of California, Irvine","United States"
"Maastricht University","Netherlands"
"University of Antwerp","Belgium"
"University of Calgary","Canada"
"Harbin Institute of Technology","China (Mainland)"
"Universidad de los Andes","Colombia"
"University of Leicester","United Kingdom"
"Victoria University of Wellington","New Zealand"
"Queen's University at Kingston","Canada"
"USI - Università della Svizzera italiana","Switzerland"
"American University of Beirut (AUB)","Lebanon"
"Saint Petersburg State University","Russia"
"Università di Padova","Italy"
"Ecole des Ponts ParisTech","France"
"Novosibirsk State University","Russia"
"University of Massachusetts Amherst","United States"
"Georgetown University","United States"
"Universitat Pompeu Fabra (Barcelona)","Spain"
"Universiti Brunei Darussalam (UBD)","Brunei"
"University of Colorado Boulder","United States"
"National Cheng Kung University (NCKU)","Taiwan"
"Yeshiva University","United States"
"Gadjah Mada University","Indonesia"
"Indian Institute of Technology Madras (IITM)","India"
"Mahidol University","Thailand"
"Tel Aviv University","Israel"
"National University of Ireland Galway","Republic of Ireland"
"Universidad Nacional de Colombia","Colombia"
"University of Canterbury | Te Whare Wananga o Waitaha","New Zealand"
"Sun Yat-sen University","China (Mainland)"
"Sciences Po","France"
"Université de Paris","France"
"Kyung Hee University","South Korea"
"Rutgers University–New Brunswick","United States"
"Charles University","Czech Republic"
"University of Navarra","Spain"
"National Yang Ming Chiao Tung University","Taiwan"
"The University of Arizona","United States"
"Technical University of Darmstadt","Germany"
"Beijing Normal University","China (Mainland)"
"Heriot-Watt University","United Kingdom"
"Dalhousie University","Canada"
"Tomsk State University","Russia"
"University of Surrey","United Kingdom"
"Southern University of Science and Technology","China (Mainland)"
"Tufts University","United States"
"Graz University of Technology","Austria"
"Indian Institute of Technology Kanpur (IITK)","India"
"King Saud University","Saudi Arabia"
"Indian Institute of Technology Kharagpur (IIT-KGP)","India"
"Bauman Moscow State Technical University","Russia"
"Universität Innsbruck","Austria"
"Deakin University","Australia"
"Massey University","New Zealand"
"University of Illinois at Chicago (UIC)","United States"
"University of Tsukuba","Japan"
"Hong Kong Baptist University","Hong Kong SAR"
"United Arab Emirates University","United Arab Emirates"
"Griffith University","Australia"
"Moscow Institute of Physics and Technology (MIPT / Moscow Phystech)","Russia"
"Universitas Indonesia","Indonesia"
"Université Paris 1 Panthéon-Sorbonne","France"
"Xi’an Jiaotong University","China (Mainland)"
"Belarusian State University","Belarus"
"University of Porto","Portugal"
"University of Turku","Finland"
"Simon Fraser University","Canada"
"University College Cork","Republic of Ireland"
"North Carolina State University","United States"
"University of Tartu","Estonia"
"University of Strathclyde","United Kingdom"
"Bandung Institute of Technology (ITB)","Indonesia"
"University of Tasmania","Australia"
"Gwangju Institute of Science and Technology (GIST)","South Korea"
"HSE University","Russia"
"University of East Anglia (UEA)","United Kingdom"
"University of Warsaw","Poland"
"Jagiellonian University","Poland"
"University of Southern Denmark (SDU)","Denmark"
"Indiana University Bloomington","United States"
"University of Cologne","Germany"
"University of Miami","United States"
"National Taiwan University of Science and Technology (Taiwan Tech)","Taiwan"
"Université Grenoble Alpes","France"
"University of Milan","Italy"
"IE University","Spain"
"RUDN University","Russia"
"National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)","Russia"
"Universitat Politècnica de Catalunya · BarcelonaTech (UPC)","Spain"
"Swinburne University of Technology","Australia"
"University of Dundee","United Kingdom"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Germany"
"Pontificia Universidad Católica Argentina","Argentina"
"University of Macau","Macau SAR"
"Aalborg University","Denmark"
"University of South Australia","Australia"
"L.N. Gumilyov Eurasian National University (ENU)","Kazakhstan"
"Linköping University","Sweden"
"City, University of London","United Kingdom"
"Technion - Israel Institute of Technology","Israel"
"Birkbeck, University of London","United Kingdom"
"Taylor's University","Malaysia"
"Huazhong University of Science and Technology","China (Mainland)"
"National Taiwan Normal University","Taiwan"
"Politecnico di Torino","Italy"
"Royal Holloway University of London","United Kingdom"
"Tianjin University","China (Mainland)"
"University of Victoria (UVic)","Canada"
"Goethe-University Frankfurt am Main","Germany"
"University of Hawai<U+02BB>i at Manoa","United States"
"Northeastern University","United States"
"Hiroshima University","Japan"
"Universität Jena","Germany"
"Universiti Teknologi Brunei","Brunei"
"Virginia Polytechnic Institute and State University","United States"
"Kazan (Volga region) Federal University","Russia"
"UCSI University","Malaysia"
"Universität Stuttgart","Germany"
"University of California, Santa Cruz","United States"
"Brunel University London","United Kingdom"
"Universidad Carlos III de Madrid (UC3M)","Spain"
"Ural Federal University - UrFU","Russia"
"Johannes Kepler University Linz","Austria"
"George Washington University","United States"
"Tilburg University","Netherlands"
"University of Lisbon","Portugal"
"Nankai University","China (Mainland)"
"National University of Sciences And Technology (NUST) Islamabad","Pakistan"
"University of Jyväskylä","Finland"
"University of Utah","United States"
"Ewha Womans University","South Korea"
"La Trobe University","Australia"
"MGIMO University","Russia"
"ITMO University","Russia"
"Umea University","Sweden"
"University Ulm","Germany"
"Sultan Qaboos University","Oman"
"Norwegian University of Science And Technology","Norway"
"Universidade Federal do Rio de Janeiro","Brazil"
"Universitat Politècnica de València","Spain"
"Lincoln University","New Zealand"
"Beijing Institute of Technology","China (Mainland)"
"University of Chemistry and Technology, Prague","Czech Republic"
"University of Connecticut","United States"
"University of Waikato","New Zealand"
"University of Oulu","Finland"
"Julius-Maximilians-Universität Würzburg","Germany"
"Quaid-i-Azam University","Pakistan"
"Stony Brook University, State University of New York","United States"
"Sharif University of Technology","Iran, Islamic Republic of"
"Tokyo Medical and Dental University (TMDU)","Japan"
"American University of Sharjah","United Arab Emirates"
"Beihang University (former BUAA)","China (Mainland)"
"University of Kent","United Kingdom"
"Kobe University","Japan"
"University of Kansas","United States"
"University at Buffalo SUNY","United States"
"University of Pisa","Italy"
"Università Vita-Salute San Raffaele","Italy"
"SOAS University of London","United Kingdom"
"Universidad de Palermo (UP)","Argentina"
"Peter the Great St. Petersburg Polytechnic University","Russia"
"Ruhr-Universität Bochum","Germany"
"Indian Institute of Technology Guwahati (IITG)","India"
"National Research Tomsk Polytechnic University","Russia"
"Pontificia Universidad Católica del Perú","Peru"
"Pakistan Institute of Engineering and Applied Sciences (PIEAS)","Pakistan"
"University of the Philippines","Philippines"
"Indian Institute of Technology Roorkee (IITR)","India"
"Universidad Austral","Argentina"
"Vilnius University","Lithuania"
"Czech Technical University in Prague","Czech Republic"
"Shandong University","China (Mainland)"
"University of California, Riverside","United States"
"Flinders University","Australia"
"South China University of Technology","China (Mainland)"
"Taipei Medical University (TMU)","Taiwan"
"Xiamen University","China (Mainland)"
"Westfälische Wilhelms-Universität Münster","Germany"
"National Sun Yat-sen University","Taiwan"
"Pontificia Universidad Javeriana","Colombia"
"Chung-Ang University (CAU)","South Korea"
"Lappeenranta-Lahti University of Technology LUT","Finland"
"Tampere University","Finland"
"Université Laval","Canada"
"Universiti Teknologi PETRONAS (UTP)","Malaysia"
"University of Colorado, Denver","United States"
"University of Science and Technology Beijing","China (Mainland)"
"National Technical University of Athens","Greece"
"Université de Strasbourg","France"
"Universität Mannheim","Germany"
"James Cook University","Australia"
"University of Naples - Federico II","Italy"
"University of Witwatersrand","South Africa"
"Johannes Gutenberg Universität Mainz","Germany"
"Washington State University","United States"
"Oxford Brookes University","United Kingdom"
"Wake Forest University","United States"
"Colorado State University","United States"
"Rensselaer Polytechnic Institute","United States"
"Universidade Nova de Lisboa","Portugal"
"Universidade Federal de São Paulo","Brazil"
"University of Johannesburg","South Africa"
"Shanghai University","China (Mainland)"
"Tulane University","United States"
"University of Canberra","Australia"
"Essex, University of","United Kingdom"
"Swansea University","United Kingdom"
"University of Cyprus (UCY)","Cyprus"
"University of Trento","Italy"
"University of Tromsø The Arctic University of Norway","Norway"
"Illinois Institute of Technology","United States"
"HUFS - Hankuk (Korea) University of Foreign Studies","South Korea"
"The American University in Cairo","Egypt"
"Umm Al-Qura University","Saudi Arabia"
"Universität Leipzig","Germany"
"Universität des Saarlandes","Germany"
"University of Milano-Bicocca","Italy"
"Auckland University of Technology (AUT)","New Zealand"
"Bond University","Australia"
"Sichuan University","China (Mainland)"
"University of Florence","Italy"
"Brandeis University","United States"
"University of Coimbra","Portugal"
"University of Iowa","United States"
"University of Saskatchewan","Canada"
"Universidad Politécnica de Madrid (UPM)","Spain"
"University of St.Gallen (HSG)","Switzerland"
"Colorado School of Mines","United States"
"Far Eastern Federal University","Russia"
"Goldsmiths, University of London","United Kingdom"
"Martin-Luther-Universität Halle-Wittenberg","Germany"
"Airlangga University","Indonesia"
"Amirkabir University of Technology","Iran, Islamic Republic of"
"Southeast University","China (Mainland)"
"Universidad de Belgrano","Argentina"
"National Taipei University of Technology","Taiwan"
"Universidad de Montevideo (UM)","Uruguay"
"Ben-Gurion University of The Negev","Israel"
"Hasselt University","Belgium"
"Universidad ORT Uruguay","Uruguay"
"University of Stirling","United Kingdom"
"Florida State University","United States"
"University of Missouri, Columbia","United States"
"Bar-Ilan University","Israel"
"Chiba University","Japan"
"University of Texas Dallas","United States"
"Chang Gung University","Taiwan"
"Université de Liège","Belgium"
"Auezov South Kazakhstan University (SKU)","Kazakhstan"
"Stellenbosch University","South Africa"
"The Catholic University of Korea","South Korea"
"Aston University","United Kingdom"
"University of Turin","Italy"
"The National University of Science and Technology MISIS","Russia"
"Universidad de Santiago de Chile (USACH)","Chile"
"Yokohama City University","Japan"
"Dublin City University","Republic of Ireland"
"Justus-Liebig-University Giessen","Germany"
"UNESP","Brazil"
"University of Granada","Spain"
"Western Sydney University","Australia"
"Boston College","United States"
"Christian-Albrechts-University zu Kiel","Germany"
"Dongguk University","South Korea"
"Iowa State University","United States"
"Sogang University","South Korea"
"University of Rome ""Tor Vergata""","Italy"
"York University","Canada"
"Aix-Marseille University","France"
"Jilin University","China (Mainland)"
"Satbayev University","Kazakhstan"
"Universidad de La Habana","Cuba"
"Universität Konstanz","Germany"
"University of Bordeaux","France"
"University of Delhi","India"
"University of Klagenfurt","Austria"
"University of Limerick","Republic of Ireland"
"Warsaw University of Technology","Poland"
"Bogor Agricultural University","Indonesia"
"Koç University","Turkey"
"Missouri University of Science and Technology","United States"
"Singapore Management University","Singapore"
"Universidad de Alcalá","Spain"
"Universiti Utara Malaysia (UUM)","Malaysia"
"University of Balamand","Lebanon"
"V. N. Karazin Kharkiv National University","Ukraine"
"Wayne State University","United States"
"Central South University","China (Mainland)"
"China University of Geosciences","China (Mainland)"
"Concordia University","Canada"
"Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM)","Saudi Arabia"
"National Central University","Taiwan"
"Universidad Central ""Marta Abreu"" de Las Villas","Cuba"
"Université de Montpellier","France"
"University of Bayreuth","Germany"
"University of Eastern Finland","Finland"
"University of Tehran","Iran, Islamic Republic of"
"Ajou University","South Korea"
"East China Normal University","China (Mainland)"
"Hitotsubashi University","Japan"
"Institut National des Sciences Appliquées de Lyon (INSA)","France"
"Lehigh University","United States"
"Nagasaki University","Japan"
"National Research Saratov State University","Russia"
"Oregon State University","United States"
"Saint Joseph University of Beirut (USJ)","Lebanon"
"Southern Federal University","Russia"
"Universidad de Costa Rica","Costa Rica"
"Universidad de Zaragoza","Spain"
"University of Delaware","United States"
"Aberystwyth University","United Kingdom"
"Iran University of Science and Technology","Iran, Islamic Republic of"
"Kyungpook National University","South Korea"
"Niigata University","Japan"
"Northwestern Polytechnical University","China (Mainland)"
"Sabanci University","Turkey"
"The University of Georgia","United States"
"The University of Tennessee, Knoxville","United States"
"University of Ulsan","South Korea"
"Abai Kazakh National Pedagogical University","Kazakhstan"
"Aristotle University of Thessaloniki","Greece"
"Kazakh National Agrarian University KazNAU","Kazakhstan"
"Masaryk University","Czech Republic"
"Middle East Technical University","Turkey"
"Universidad de Sevilla","Spain"
"Universidad Panamericana (UP)","Mexico"
"Università Cattolica del Sacro Cuore","Italy"
"Université Paul Sabatier Toulouse III","France"
"University of Szeged","Hungary"
"Altai State University","Russia"
"Hallym University","South Korea"
"Inha University","South Korea"
"Jawaharlal Nehru University","India"
"Technische Universität Braunschweig","Germany"
"The New School","United States"
"Università degli Studi di Pavia","Italy"
"Université de Fribourg","Switzerland"
"Cairo University","Egypt"
"Dalian University of Technology","China (Mainland)"
"East China University of Science and Technology","China (Mainland)"
"Holy Spirit University of Kaslik","Lebanon"
"Hunan University","China (Mainland)"
"Ivane Javakhishvili Tbilisi State University","Georgia"
"Jeonbuk National University","South Korea"
"Osaka City University","Japan"
"Universität Bremen","Germany"
"Universitat de Valencia","Spain"
"University of Minho","Portugal"
"University of Nebraska - Lincoln","United States"
"Lebanese American University","Lebanon"
"Lingnan University, Hong Kong","Hong Kong SAR"
"Murdoch University","Australia"
"Okayama University","Japan"
"Samara National Research University (Samara University)","Russia"
"Universidad Nacional de La Plata (UNLP)","Argentina"
"University of Guelph","Canada"
"University of South Florida","United States"
"Applied Science University - Bahrain","Bahrain"
"Bilkent University","Turkey"
"Indian Institute of Technology Hyderabad","India"
"Kumamoto University","Japan"
"National Chengchi University","Taiwan"
"Savitribai Phule Pune University","India"
"Sofia University ""St. Kliment Ohridski""","Bulgaria"
"Universidad Externado de Colombia","Colombia"
"Universität Regensburg","Germany"
"Université du Québec","Canada"
"University of Debrecen","Hungary"
"University of Electronic Science and Technology of China","China (Mainland)"
"University of Ljubljana","Slovenia"
"Abo Akademi University","Finland"
"American University in Dubai","United Arab Emirates"
"Ateneo de Manila University","Philippines"
"Bangor University","United Kingdom"
"Canadian University Dubai","United Arab Emirates"
"Carleton University","Canada"
"Central Queensland University (CQUniversity Australia)","Australia"
"Chiang Mai University","Thailand"
"China Agricultural University","China (Mainland)"
"Clark University","United States"
"Coventry University","United Kingdom"
"Gifu University","Japan"
"Kanazawa University","Japan"
"Kingston University, London","United Kingdom"
"Konkuk University","South Korea"
"Leibniz University Hannover","Germany"
"Management and Science University","Malaysia"
"Nanjing University of Science and Technology","China (Mainland)"
"Palacký University Olomouc","Czech Republic"
"Pavol Jozef Šafárik University in Košice","Slovakia"
"Pusan National University","South Korea"
"Renmin (People's) University of China","China (Mainland)"
"S.D. Asfendiyarov Kazakh National Medical University","Kazakhstan"
"Sejong University","South Korea"
"Shenzhen University","China (Mainland)"
"Smith College","United States"
"Soochow University","China (Mainland)"
"Taras Shevchenko National University of Kyiv","Ukraine"
"Thammasat University","Thailand"
"Tokyo University of Agriculture and Technology","Japan"
"Universidad Anáhuac México","Mexico"
"Universidad de Concepción","Chile"
"Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN)","Argentina"
"Universidad Pontificia Comillas","Spain"
"Universitat Ramon Llull","Spain"
"University of Aveiro","Portugal"
"University of Cincinnati","United States"
"University of Genoa","Italy"
"University of Hohenheim","Germany"
"University of Jordan","Jordan"
"University of Manitoba","Canada"
"University of Plymouth","United Kingdom"
"University of Pretoria","South Africa"
"University of Sharjah","United Arab Emirates"
"University of Siena","Italy"
"University of South Carolina","United States"
"University Paris 2 Panthéon-Assas","France"
"Victoria University","Australia"
"American University","United States"
"Chongqing University","China (Mainland)"
"College of William and Mary","United States"
"Comenius University in Bratislava","Slovakia"
"Drexel University","United States"
"Edith Cowan University","Australia"
"Eötvös Loránd University","Hungary"
"Free University of Bozen-Bolzano","Italy"
"Howard University","United States"
"Immanuel Kant Baltic Federal University","Russia"
"International Islamic University Malaysia (IIUM)","Malaysia"
"Jadavpur University","India"
"Kagoshima University","Japan"
"Karl-Franzens-Universitaet Graz","Austria"
"King Khalid University","Saudi Arabia"
"Lahore University of Management Sciences (LUMS)","Pakistan"
"Lobachevsky University","Russia"
"Macau University of Science and Technology","Macau SAR"
"Michigan Technological University","United States"
"National and Kapodistrian University of Athens","Greece"
"National Chung Hsing University","Taiwan"
"National Technical University ""Kharkiv Polytechnic Institute""","Ukraine"
"Pontifícia Universidade Católica do Rio de Janeiro","Brazil"
